    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     817.84      20.060       0.000       0.000       0.000       0.000       0.000      20.060
     818.00       2.590       0.000       0.000       0.000       0.000       0.000       2.590
     818.20       7.403       0.000       0.000       0.000       0.000       0.000       7.403
     818.24       8.270       0.000       0.000       0.000       0.000       0.000       8.270
     818.34       1.960       0.000       0.000       0.000       0.000       0.000       1.960
     818.50       1.550       0.000       0.000       0.000       0.000       0.000       1.550
     819.00       1.685       0.000       0.000       0.000       0.000       0.000       1.685
     819.50       1.819       0.000       0.000       0.000       0.000       0.000       1.819
     819.80       1.900       0.000       0.000       0.000       0.000       0.000       1.900
     820.00       1.954       0.000       0.000       0.000       0.000       0.000       1.954
     820.50       2.088       0.000       0.000       0.000       0.000       0.000       2.088
     821.00       2.223       0.000       0.000       0.000       0.000       0.000       2.223
     821.30       2.304       0.000       0.000       0.000       0.000       0.000       2.304
     821.50       2.358       0.000       0.000       0.000       0.000       0.000       2.358
     822.00       2.492       0.000       0.000       0.000       0.000       0.000       2.492
     823.00       2.762       0.000       0.000       0.000       0.000       0.000       2.762
     823.20       2.815       0.000       0.000       0.000       0.000       0.000       2.815
     824.00       3.031       0.000       0.000       0.000       0.000       0.000       3.031
     824.10       3.058       0.000       0.000       0.000       0.000       0.000       3.058
     824.50       3.165       0.000       0.000       0.000       0.000       0.000       3.165
     824.90       3.273       0.000       0.000       0.000       0.000       0.000       3.273
     825.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     825.30       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     825.50       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     826.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     826.50       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     826.80       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     827.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     827.50       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     827.80       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     828.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     828.30       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     829.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     829.40       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     829.60       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     829.80       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     830.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     831.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     832.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     832.50       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     832.80       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     832.90       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     833.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     833.50       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     833.70       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     834.00       3.300       0.000       0.000       0.000       0.000       0.000       3.300
     834.10       3.300       0.000       0.000       0.000       0.000       0.000       3.300
